127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:44 -0400] "GET / HTTP/1.1" 301 0 "-" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:45 -0400] "GET /ZendServer/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/Login/Js-Leave HTTP/1.1" 200 331 "-" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /favicon.ico HTTP/1.1" 404 345 "-" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/Login HTTP/1.1" 200 5613 "http://localhost:10081/ZendServer/Login/Js-Leave" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/images/favicon.ico HTTP/1.1" 200 1406 "-" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/styles/navigation.css?656aaffb18e6a1aff5fbfe3cf106e125.css HTTP/1.1" 200 1416 "http://localhost:10081/ZendServer/Login" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/styles/tables.css?656aaffb18e6a1aff5fbfe3cf106e125.css HTTP/1.1" 200 2088 "http://localhost:10081/ZendServer/Login" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/styles/message-pane.css?656aaffb18e6a1aff5fbfe3cf106e125.css HTTP/1.1" 200 6031 "http://localhost:10081/ZendServer/Login" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/styles/welcome.css?656aaffb18e6a1aff5fbfe3cf106e125.css HTTP/1.1" 200 527 "http://localhost:10081/ZendServer/Login" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/styles/zend-forms-general.css?656aaffb18e6a1aff5fbfe3cf106e125.css HTTP/1.1" 200 1313 "http://localhost:10081/ZendServer/Login" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/scripts/dojo/dijit/themes/tundra/tundra.css?656aaffb18e6a1aff5fbfe3cf106e125.css HTTP/1.1" 200 67329 "http://localhost:10081/ZendServer/Login" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
127.0.0.1 localhost:10081 - [04/Nov/2010:22:16:46 -0400] "GET /ZendServer/styles/old.css?656aaffb18e6a1aff5fbfe3cf106e125.css HTTP/1.1" 200 229 "http://localhost:10081/ZendServer/Login" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19) Gecko/2010031706 Red Hat/3.0.19-1.el5_5 Firefox/3.0.19"
